Country Name,Country Code,Capitol City,Population,GDP,Happiness Rank
Republic of the Congo,COG,Brazzaville,5244363,11263682694,126
Belgium,BEL,Brussels,11422068,532000000000,17
Peru,PER,Lima,31989256,222000000000,63
Georgia,GEO,Tbilisi,3731000,16209818081,125
Slovenia,SVN,Ljubljana,2067372,54235484383,62
Madagascar,MDG,Antananarivo,26262368,12100459087,144
United States,USA,Washington,327167434,20500000000000,14
Romania,ROU,Bucharest,19473936,240000000000,57
Switzerland,CHE,Berne,8516543,706000000000,4
Turkey,TUR,Ankara,82319724,767000000000,69
Panama,PAN,Panama City,4176873,65055100000,30
Uruguay,URY,Montevideo,3449299,59596885024,28
Sudan,SDN,Khartoum,41801533,40851536134,130
Central African Republic,CAF,Bangui,4666377,2379716827,155
Burkina Faso,BFA,Ouagadougou,19751535,14441763759,134
South Sudan,SSD,Juba,10975920,18435000000,147
Syrian Arab Republic,SYR,Damascus,16906283,50280000000,152
Greece,GRC,Athens,10727668,218000000000,87
Ghana,GHA,Accra,29767108,65556464056,131
Germany,DEU,Berlin,82927922,4000000000000,16
Indonesia,IDN,Jakarta,267663435,1040000000000,81
South Africa,ZAF,Pretoria,57779622,366000000000,101
India,IND,New Delhi,1352617328,2730000000000,122
Bhutan,BTN,Thimphu,754394,2534965163,97
Ukraine,UKR,Kiev,44622516,131000000000,132
Malaysia,MYS,Kuala Lumpur,31528585,354000000000,42
Brazil,BRA,Brasilia,209469333,1870000000000,22
Chile,CHL,Santiago,18729160,298000000000,20
Croatia,HRV,Zagreb,4089400,60805659436,77
Bosnia and Herzegovina,BIH,Sarajevo,3323929,19781776101,90
Namibia,NAM,Windhoek,2606971,27505000000,111
Nicaragua,NIC,Managua,6465513,13117859222,43
Iran,IRN,Tehran,81800269,1540000000000,108
Tajikistan,TJK,Dushanbe,9100837,7522947810,96
Portugal,PRT,Lisbon,10281762,238000000000,89
Guatemala,GTM,Guatemala City,17247807,78460447920,29
Dominican Republic,DOM,Santo Domingo,10627165,81298585403,86
Afghanistan,AFG,Kabul,37172386,19362969582,141
France,FRA,Paris,66987244,2780000000000,31
Taiwan Province of China,TWN,Taipei,23577271,1310000000000,33
Estonia,EST,Tallinn,1320884,30284890757,66
China,CHN,Beijing,1392730000,13600000000000,79
Latvia,LVA,Riga,1926542,34849078086,54
North Cyprus,CYP,Nicosia,326000,3685000000,61
Algeria,DZA,Algiers,42228429,181000000000,53
Moldova,MDA,Chisinau,3545883,11309082555,56
Belize,BLZ,Belmopan,408487,3343000000,50
Tanzania,TZA,Dodoma,56318348,57437073927,153
Australia,AUS,Canberra,24992369,1430000000000,10
Togo,TGO,Lome,7889094,5300214337,150
Kenya,KEN,Nairobi,51393010,87908262520,112
Jordan,JOR,Amman,9956011,42290832158,74
Uzbekistan,UZB,Tashkent,32955400,50499920318,47
Kazakhstan,KAZ,Astana,18276499,171000000000,60
Mali,MLI,Bamako,19077690,17196688920,127
Ecuador,ECU,Quito,17084357,108000000000,44
Poland,POL,Warsaw,37978548,586000000000,46
Armenia,ARM,Yerevan,2951776,12433089919,121
Libya,LBY,Tripolis,6678567,48319620013,68
Finland,FIN,Helsinki,5518050,276000000000,5
Lithuania,LTU,Vilnius,2789533,53251369047,52
Bulgaria,BGR,Sofia,7024216,65132951116,105
Bahrain,BHR,Manama,1569439,37746196809,41
Botswana,BWA,Gaborone,2254126,18616018903,142
Tunisia,TUN,Tunis,11565204,39860715814,102
Mauritania,MRT,Nouakchott,4403319,5365868725,123
Norway,NOR,Oslo,5314336,435000000000,1
Myanmar,MMR,Nay Pyi Taw,53708395,71214803378,114
Slovak Republic,SVK,Bratislava,5447011,106000000000,40
Netherlands,NLD,Amsterdam,17231017,913000000000,6
Mexico,MEX,Mexico City,126190788,1220000000000,25
Burundi,BDI,Bujumbura,11175378,3078029929,154
Iraq,IRQ,Baghdad,38433600,226000000000,117
Malta,MLT,Valletta,483530,14542039605,27
Pakistan,PAK,Islamabad,212215030,313000000000,80
Canada,CAN,Ottawa,37058856,1710000000000,7
